student_id,gender,lunch,school,classroom
6DCTV,Female,Qualifies for reduced/free lunch,CCAAW,2B1
6OB0S,Male,Qualifies for reduced/free lunch,CCAAW,2B1
AITPY,Male,Does not qualify,CCAAW,2B1
B8B6G,Male,Does not qualify,CCAAW,2B1
C0UW3,Female,Qualifies for reduced/free lunch,CCAAW,2B1
CD1MB,Male,Qualifies for reduced/free lunch,CCAAW,2B1
F4ZHY,Male,Qualifies for reduced/free lunch,CCAAW,2B1
GT9F2,Male,Qualifies for reduced/free lunch,CCAAW,2B1
L5T1W,Male,Qualifies for reduced/free lunch,CCAAW,2B1
MVXN3,Female,Does not qualify,CCAAW,2B1
N7XOT,Male,Does not qualify,CCAAW,2B1
NKP72,Male,Qualifies for reduced/free lunch,CCAAW,2B1
QJVAM,Male,Qualifies for reduced/free lunch,CCAAW,2B1
V6ZA8,Male,Does not qualify,CCAAW,2B1
X4NP9,Female,Does not qualify,CCAAW,2B1
YEJFP,Female,Does not qualify,CCAAW,2B1
2RA1H,Female,Does not qualify,CCAAW,EPS
2U37U,Female,Qualifies for reduced/free lunch,CCAAW,EPS
30219,Male,Does not qualify,CCAAW,EPS
3RJO7,Female,Does not qualify,CCAAW,EPS
42OS6,Female,Qualifies for reduced/free lunch,CCAAW,EPS
4B72M,Male,Does not qualify,CCAAW,EPS
7D9JO,Male,Does not qualify,CCAAW,EPS
7QNXG,Female,Qualifies for reduced/free lunch,CCAAW,EPS
8HMCH,Female,Qualifies for reduced/free lunch,CCAAW,EPS
8W6N8,Female,Does not qualify,CCAAW,EPS
BVGDA,Male,Qualifies for reduced/free lunch,CCAAW,EPS
CFICH,Female,Does not qualify,CCAAW,EPS
DTGZA,Female,Does not qualify,CCAAW,EPS
EEJ6S,Male,Does not qualify,CCAAW,EPS
JSYRI,Female,Does not qualify,CCAAW,EPS
KGFXN,Female,Does not qualify,CCAAW,EPS
KTSGX,Female,Does not qualify,CCAAW,EPS
SAKZI,Female,Qualifies for reduced/free lunch,CCAAW,EPS
XAHWJ,Female,Qualifies for reduced/free lunch,CCAAW,EPS
XP6HQ,Female,Qualifies for reduced/free lunch,CCAAW,EPS
0ZAWS,Female,Does not qualify,CCAAW,IQN
4CE6S,Female,Does not qualify,CCAAW,IQN
DB15U,Female,Qualifies for reduced/free lunch,CCAAW,IQN
GFIP5,Female,Qualifies for reduced/free lunch,CCAAW,IQN
GJ8SE,Male,Qualifies for reduced/free lunch,CCAAW,IQN
GYLNC,Female,Does not qualify,CCAAW,IQN
H1H52,Male,Does not qualify,CCAAW,IQN
JPSF7,Male,Qualifies for reduced/free lunch,CCAAW,IQN
KW69V,Male,Qualifies for reduced/free lunch,CCAAW,IQN
MY8XT,Female,Qualifies for reduced/free lunch,CCAAW,IQN
NKEK5,Male,Qualifies for reduced/free lunch,CCAAW,IQN
PCELB,Male,Does not qualify,CCAAW,IQN
VLKJU,Male,Does not qualify,CCAAW,IQN
WI916,Female,Does not qualify,CCAAW,IQN
WO5E2,Male,Qualifies for reduced/free lunch,CCAAW,IQN
0U8DI,Female,Qualifies for reduced/free lunch,CCAAW,PGK
18YOG,Male,Qualifies for reduced/free lunch,CCAAW,PGK
4YN68,Female,Qualifies for reduced/free lunch,CCAAW,PGK
905ZT,Female,Qualifies for reduced/free lunch,CCAAW,PGK
9WYVP,Male,Does not qualify,CCAAW,PGK
A1554,Female,Does not qualify,CCAAW,PGK
BWRTH,Female,Qualifies for reduced/free lunch,CCAAW,PGK
CNECS,Male,Qualifies for reduced/free lunch,CCAAW,PGK
E8RRO,Male,Qualifies for reduced/free lunch,CCAAW,PGK
I2TFD,Female,Does not qualify,CCAAW,PGK
I4BNO,Female,Qualifies for reduced/free lunch,CCAAW,PGK
IY6DQ,Female,Does not qualify,CCAAW,PGK
LB8XY,Female,Does not qualify,CCAAW,PGK
LHBRT,Male,Does not qualify,CCAAW,PGK
NVH1O,Male,Does not qualify,CCAAW,PGK
O4BQF,Female,Does not qualify,CCAAW,PGK
ODYMF,Female,Does not qualify,CCAAW,PGK
QLX2Z,Female,Does not qualify,CCAAW,PGK
QPPQJ,Male,Does not qualify,CCAAW,PGK
ST8FC,Female,Does not qualify,CCAAW,PGK
XTC1Q,Male,Does not qualify,CCAAW,PGK
0MRJH,Female,Qualifies for reduced/free lunch,CCAAW,UHU
1RN82,Female,Does not qualify,CCAAW,UHU
24AN2,Female,Qualifies for reduced/free lunch,CCAAW,UHU
2XT73,Female,Qualifies for reduced/free lunch,CCAAW,UHU
65RSM,Male,Does not qualify,CCAAW,UHU
6QNQ9,Female,Qualifies for reduced/free lunch,CCAAW,UHU
76O2H,Male,Does not qualify,CCAAW,UHU
EUUCT,Female,Does not qualify,CCAAW,UHU
FUCFP,Female,Qualifies for reduced/free lunch,CCAAW,UHU
G3L6V,Female,Qualifies for reduced/free lunch,CCAAW,UHU
I0XVJ,Female,Does not qualify,CCAAW,UHU
IYNXL,Male,Does not qualify,CCAAW,UHU
M5NZM,Female,Qualifies for reduced/free lunch,CCAAW,UHU
PKG8H,Female,Does not qualify,CCAAW,UHU
RM0W4,Female,Qualifies for reduced/free lunch,CCAAW,UHU
XWY2X,Female,Does not qualify,CCAAW,UHU
0DLKI,Male,Does not qualify,CCAAW,UWK
1F817,Male,Does not qualify,CCAAW,UWK
1IK2C,Female,Qualifies for reduced/free lunch,CCAAW,UWK
1OFX7,Female,Does not qualify,CCAAW,UWK
21IQZ,Female,Does not qualify,CCAAW,UWK
5I0TO,Female,Does not qualify,CCAAW,UWK
5SQKW,Male,Does not qualify,CCAAW,UWK
7PLYH,Female,Does not qualify,CCAAW,UWK
8MLVH,Female,Qualifies for reduced/free lunch,CCAAW,UWK
CGX72,Female,Does not qualify,CCAAW,UWK
IBX0J,Female,Qualifies for reduced/free lunch,CCAAW,UWK
JY21F,Female,Qualifies for reduced/free lunch,CCAAW,UWK
L4B6P,Female,Qualifies for reduced/free lunch,CCAAW,UWK
PYYX9,Female,Qualifies for reduced/free lunch,CCAAW,UWK
QZI3R,Female,Qualifies for reduced/free lunch,CCAAW,UWK
RYJH1,Male,Qualifies for reduced/free lunch,CCAAW,UWK
TKWII,Female,Qualifies for reduced/free lunch,CCAAW,UWK
X6ZCW,Female,Qualifies for reduced/free lunch,CCAAW,UWK
ZDLQB,Female,Qualifies for reduced/free lunch,CCAAW,UWK
0WW6N,Male,Does not qualify,CIMBB,A33
5IKFU,Male,Does not qualify,CIMBB,A33
7ODZ6,Male,Does not qualify,CIMBB,A33
BD0UJ,Male,Does not qualify,CIMBB,A33
F08JN,Male,Does not qualify,CIMBB,A33
FRA61,Female,Does not qualify,CIMBB,A33
FZVQF,Male,Does not qualify,CIMBB,A33
GXVKS,Male,Does not qualify,CIMBB,A33
IUX8B,Male,Does not qualify,CIMBB,A33
KL3L4,Female,Does not qualify,CIMBB,A33
NV5M7,Female,Does not qualify,CIMBB,A33
PBE3E,Female,Does not qualify,CIMBB,A33
QB9ZX,Male,Does not qualify,CIMBB,A33
SM22E,Male,Does not qualify,CIMBB,A33
U2O2E,Female,Does not qualify,CIMBB,A33
UOZAQ,Female,Qualifies for reduced/free lunch,CIMBB,A33
XGJ6Y,Female,Does not qualify,CIMBB,A33
Y0PR8,Female,Does not qualify,CIMBB,A33
YB3AW,Female,Does not qualify,CIMBB,A33
03T0E,Male,Does not qualify,CIMBB,EID
13IGD,Male,Does not qualify,CIMBB,EID
2BCEE,Female,Does not qualify,CIMBB,EID
4RRBE,Male,Does not qualify,CIMBB,EID
5RT1S,Male,Does not qualify,CIMBB,EID
6MBC0,Female,Does not qualify,CIMBB,EID
7T7C2,Male,Does not qualify,CIMBB,EID
A90E3,Male,Does not qualify,CIMBB,EID
C4WMS,Male,Does not qualify,CIMBB,EID
DG5U0,Female,Does not qualify,CIMBB,EID
H033K,Male,Does not qualify,CIMBB,EID
HM7JY,Female,Does not qualify,CIMBB,EID
IDT35,Male,Does not qualify,CIMBB,EID
J8ME6,Female,Does not qualify,CIMBB,EID
O9Z89,Female,Does not qualify,CIMBB,EID
RZB93,Male,Does not qualify,CIMBB,EID
THSH4,Male,Does not qualify,CIMBB,EID
TLZHB,Female,Does not qualify,CIMBB,EID
W6N8C,Female,Does not qualify,CIMBB,EID
XGPLY,Female,Does not qualify,CIMBB,EID
Z3KSE,Female,Does not qualify,CIMBB,EID
1FA55,Male,Does not qualify,CIMBB,HUJ
3MV44,Male,Does not qualify,CIMBB,HUJ
4LM4Y,Male,Does not qualify,CIMBB,HUJ
792N5,Female,Does not qualify,CIMBB,HUJ
8TW6G,Male,Does not qualify,CIMBB,HUJ
9HA2N,Male,Does not qualify,CIMBB,HUJ
B8EP0,Female,Does not qualify,CIMBB,HUJ
BQ8E0,Female,Does not qualify,CIMBB,HUJ
E25O4,Female,Does not qualify,CIMBB,HUJ
IFRIJ,Female,Does not qualify,CIMBB,HUJ
IOQIU,Male,Does not qualify,CIMBB,HUJ
JGBZA,Female,Does not qualify,CIMBB,HUJ
JU9C5,Male,Does not qualify,CIMBB,HUJ
M0CLJ,Male,Does not qualify,CIMBB,HUJ
V69IG,Female,Does not qualify,CIMBB,HUJ
WY9TV,Male,Does not qualify,CIMBB,HUJ
XKSFM,Male,Does not qualify,CIMBB,HUJ
1C30U,Male,Does not qualify,CIMBB,PC6
4XEXD,Female,Does not qualify,CIMBB,PC6
7Z1S4,Female,Does not qualify,CIMBB,PC6
8DR2M,Female,Does not qualify,CIMBB,PC6
BO4NT,Female,Does not qualify,CIMBB,PC6
DBPV7,Female,Does not qualify,CIMBB,PC6
EQUU9,Female,Does not qualify,CIMBB,PC6
ETDRG,Female,Does not qualify,CIMBB,PC6
G8VM9,Male,Does not qualify,CIMBB,PC6
GS9HH,Male,Does not qualify,CIMBB,PC6
J4LOI,Female,Does not qualify,CIMBB,PC6
K7YOS,Female,Does not qualify,CIMBB,PC6
M2OMY,Male,Does not qualify,CIMBB,PC6
P0F2W,Female,Does not qualify,CIMBB,PC6
U6C5U,Female,Does not qualify,CIMBB,PC6
VQ6PP,Male,Does not qualify,CIMBB,PC6
XJPON,Male,Does not qualify,CIMBB,PC6
14K8S,Female,Does not qualify,CUQAM,1Q1
1V9FC,Male,Qualifies for reduced/free lunch,CUQAM,1Q1
2NV1C,Male,Does not qualify,CUQAM,1Q1
4TYX0,Female,Does not qualify,CUQAM,1Q1
5HS69,Female,Does not qualify,CUQAM,1Q1
6AEX4,Female,Does not qualify,CUQAM,1Q1
6O48K,Male,Does not qualify,CUQAM,1Q1
7R2Y4,Male,Does not qualify,CUQAM,1Q1
82W8S,Male,Does not qualify,CUQAM,1Q1
D4HCS,Male,Does not qualify,CUQAM,1Q1
F0FIP,Male,Does not qualify,CUQAM,1Q1
GK727,Male,Does not qualify,CUQAM,1Q1
H9BKE,Male,Does not qualify,CUQAM,1Q1
J82SA,Female,Does not qualify,CUQAM,1Q1
K8KRE,Male,Qualifies for reduced/free lunch,CUQAM,1Q1
KB2DJ,Male,Does not qualify,CUQAM,1Q1
MMOCM,Female,Does not qualify,CUQAM,1Q1
MQHOL,Male,Does not qualify,CUQAM,1Q1
N2HZ8,Female,Does not qualify,CUQAM,1Q1
PPWAC,Male,Does not qualify,CUQAM,1Q1
REXA7,Female,Does not qualify,CUQAM,1Q1
UCMFB,Female,Qualifies for reduced/free lunch,CUQAM,1Q1
VIYQW,Female,Does not qualify,CUQAM,1Q1
WCVWV,Female,Does not qualify,CUQAM,1Q1
X0AOP,Male,Does not qualify,CUQAM,1Q1
X94T8,Male,Does not qualify,CUQAM,1Q1
XAV1J,Male,Qualifies for reduced/free lunch,CUQAM,1Q1
YPIKD,Male,Does not qualify,CUQAM,1Q1
3SRQL,Female,Does not qualify,CUQAM,BFY
57N0B,Female,Does not qualify,CUQAM,BFY
5VCT2,Female,Does not qualify,CUQAM,BFY
6O5SV,Female,Does not qualify,CUQAM,BFY
6Y2G7,Male,Does not qualify,CUQAM,BFY
9UOCD,Male,Does not qualify,CUQAM,BFY
BHDD2,Male,Qualifies for reduced/free lunch,CUQAM,BFY
DEQXB,Female,Does not qualify,CUQAM,BFY
DH29D,Male,Does not qualify,CUQAM,BFY
E0NP5,Female,Does not qualify,CUQAM,BFY
FIH1N,Male,Does not qualify,CUQAM,BFY
FIXJF,Male,Does not qualify,CUQAM,BFY
HFMAA,Male,Does not qualify,CUQAM,BFY
IRVYC,Male,Does not qualify,CUQAM,BFY
MIMX1,Female,Does not qualify,CUQAM,BFY
NRU8N,Female,Does not qualify,CUQAM,BFY
QMRNM,Male,Does not qualify,CUQAM,BFY
QP6GN,Male,Does not qualify,CUQAM,BFY
RLCLQ,Male,Qualifies for reduced/free lunch,CUQAM,BFY
SOE2Z,Male,Does not qualify,CUQAM,BFY
U11R6,Female,Does not qualify,CUQAM,BFY
U55KC,Male,Qualifies for reduced/free lunch,CUQAM,BFY
U6V9N,Female,Qualifies for reduced/free lunch,CUQAM,BFY
UPA8M,Male,Does not qualify,CUQAM,BFY
WCR6H,Male,Does not qualify,CUQAM,BFY
WP4OE,Male,Does not qualify,CUQAM,BFY
YV0HB,Female,Does not qualify,CUQAM,BFY
0H9EO,Female,Does not qualify,CUQAM,OMI
0WKXC,Male,Does not qualify,CUQAM,OMI
0ZUZM,Male,Does not qualify,CUQAM,OMI
1M80R,Male,Does not qualify,CUQAM,OMI
2AT2K,Male,Does not qualify,CUQAM,OMI
2EQ4L,Male,Does not qualify,CUQAM,OMI
3ULUB,Female,Does not qualify,CUQAM,OMI
6J5II,Female,Does not qualify,CUQAM,OMI
703YR,Male,Qualifies for reduced/free lunch,CUQAM,OMI
86RZK,Female,Does not qualify,CUQAM,OMI
91U4U,Male,Qualifies for reduced/free lunch,CUQAM,OMI
AYOIP,Female,Does not qualify,CUQAM,OMI
BW158,Female,Does not qualify,CUQAM,OMI
CFA02,Male,Does not qualify,CUQAM,OMI
GHNH4,Male,Does not qualify,CUQAM,OMI
I1E36,Male,Does not qualify,CUQAM,OMI
J9O6H,Female,Does not qualify,CUQAM,OMI
N3DMQ,Male,Does not qualify,CUQAM,OMI
OBJSU,Female,Does not qualify,CUQAM,OMI
PDDSN,Female,Does not qualify,CUQAM,OMI
PZFMC,Female,Does not qualify,CUQAM,OMI
R8YXZ,Male,Qualifies for reduced/free lunch,CUQAM,OMI
RHZI6,Male,Does not qualify,CUQAM,OMI
THIFD,Female,Qualifies for reduced/free lunch,CUQAM,OMI
TNGFN,Male,Does not qualify,CUQAM,OMI
U3GC0,Female,Does not qualify,CUQAM,OMI
Y7CIO,Male,Does not qualify,CUQAM,OMI
YSEBW,Male,Does not qualify,CUQAM,OMI
5Z1Q8,Female,Does not qualify,CUQAM,X6Z
6PQH8,Female,Does not qualify,CUQAM,X6Z
B4YM5,Female,Does not qualify,CUQAM,X6Z
C8YUM,Male,Qualifies for reduced/free lunch,CUQAM,X6Z
CRV86,Male,Does not qualify,CUQAM,X6Z
D4BUO,Male,Does not qualify,CUQAM,X6Z
HCBLB,Male,Does not qualify,CUQAM,X6Z
JGOV7,Male,Does not qualify,CUQAM,X6Z
JME0Z,Female,Does not qualify,CUQAM,X6Z
K3IZ6,Male,Does not qualify,CUQAM,X6Z
NIJP6,Female,Does not qualify,CUQAM,X6Z
PGFCX,Male,Does not qualify,CUQAM,X6Z
QCW77,Female,Does not qualify,CUQAM,X6Z
QLAXV,Male,Does not qualify,CUQAM,X6Z
RLE9C,Male,Qualifies for reduced/free lunch,CUQAM,X6Z
S1U43,Male,Does not qualify,CUQAM,X6Z
SZDD5,Male,Does not qualify,CUQAM,X6Z
TMC4V,Male,Does not qualify,CUQAM,X6Z
TNGPD,Male,Does not qualify,CUQAM,X6Z
TT9MG,Male,Qualifies for reduced/free lunch,CUQAM,X6Z
UHE7N,Male,Does not qualify,CUQAM,X6Z
UM6YP,Female,Does not qualify,CUQAM,X6Z
X006R,Female,Does not qualify,CUQAM,X6Z
Y7KJM,Female,Qualifies for reduced/free lunch,CUQAM,X6Z
1K0Q5,Female,Does not qualify,DNQDD,2AP
338XH,Female,Qualifies for reduced/free lunch,DNQDD,2AP
378BQ,Female,Does not qualify,DNQDD,2AP
3BGFW,Female,Does not qualify,DNQDD,2AP
4ZRL3,Male,Does not qualify,DNQDD,2AP
56UMG,Male,Qualifies for reduced/free lunch,DNQDD,2AP
5UWDZ,Male,Does not qualify,DNQDD,2AP
8PAMX,Female,Qualifies for reduced/free lunch,DNQDD,2AP
96ZIU,Female,Qualifies for reduced/free lunch,DNQDD,2AP
DBJRW,Male,Qualifies for reduced/free lunch,DNQDD,2AP
DCVI8,Female,Qualifies for reduced/free lunch,DNQDD,2AP
E178W,Male,Does not qualify,DNQDD,2AP
EDR5K,Female,Does not qualify,DNQDD,2AP
IRU9S,Female,Qualifies for reduced/free lunch,DNQDD,2AP
JIPLL,Female,Does not qualify,DNQDD,2AP
MH6W5,Female,Does not qualify,DNQDD,2AP
N1ICX,Male,Qualifies for reduced/free lunch,DNQDD,2AP
QFID8,Male,Does not qualify,DNQDD,2AP
RYRXG,Male,Qualifies for reduced/free lunch,DNQDD,2AP
T0TIH,Male,Qualifies for reduced/free lunch,DNQDD,2AP
U086J,Male,Qualifies for reduced/free lunch,DNQDD,2AP
U0TQQ,Male,Qualifies for reduced/free lunch,DNQDD,2AP
UIM0F,Male,Qualifies for reduced/free lunch,DNQDD,2AP
UPBA8,Male,Qualifies for reduced/free lunch,DNQDD,2AP
VJQL3,Male,Qualifies for reduced/free lunch,DNQDD,2AP
X7YLX,Female,Qualifies for reduced/free lunch,DNQDD,2AP
Y2RWV,Female,Does not qualify,DNQDD,2AP
02WIH,Male,Qualifies for reduced/free lunch,DNQDD,PW5
0VR4J,Female,Does not qualify,DNQDD,PW5
1IEF0,Male,Does not qualify,DNQDD,PW5
1M9UM,Male,Qualifies for reduced/free lunch,DNQDD,PW5
2OI79,Female,Qualifies for reduced/free lunch,DNQDD,PW5
463P7,Female,Does not qualify,DNQDD,PW5
4HD3D,Female,Qualifies for reduced/free lunch,DNQDD,PW5
6RFGN,Male,Qualifies for reduced/free lunch,DNQDD,PW5
6TTZY,Female,Does not qualify,DNQDD,PW5
6XLGF,Female,Does not qualify,DNQDD,PW5
E7VFK,Female,Qualifies for reduced/free lunch,DNQDD,PW5
GO92G,Male,Does not qualify,DNQDD,PW5
GUEXC,Female,Qualifies for reduced/free lunch,DNQDD,PW5
MP2DL,Female,Does not qualify,DNQDD,PW5
UBDCF,Male,Qualifies for reduced/free lunch,DNQDD,PW5
VWNJ9,Male,Does not qualify,DNQDD,PW5
XN65F,Female,Qualifies for reduced/free lunch,DNQDD,PW5
Y4LA5,Female,Qualifies for reduced/free lunch,DNQDD,PW5
YM3NK,Male,Qualifies for reduced/free lunch,DNQDD,PW5
ZR1KH,Female,Qualifies for reduced/free lunch,DNQDD,PW5
0KSLY,Female,Does not qualify,DNQDD,ROP
34LDX,Male,Qualifies for reduced/free lunch,DNQDD,ROP
39EA1,Female,Does not qualify,DNQDD,ROP
5CQ0N,Female,Qualifies for reduced/free lunch,DNQDD,ROP
5SLAY,Male,Qualifies for reduced/free lunch,DNQDD,ROP
7HDEV,Male,Qualifies for reduced/free lunch,DNQDD,ROP
831D6,Male,Qualifies for reduced/free lunch,DNQDD,ROP
889HH,Male,Qualifies for reduced/free lunch,DNQDD,ROP
B6VQP,Male,Does not qualify,DNQDD,ROP
H0CGC,Male,Qualifies for reduced/free lunch,DNQDD,ROP
JAQ11,Male,Qualifies for reduced/free lunch,DNQDD,ROP
JZRVJ,Male,Does not qualify,DNQDD,ROP
KCJ9W,Female,Does not qualify,DNQDD,ROP
L0UG9,Male,Qualifies for reduced/free lunch,DNQDD,ROP
MGJ90,Female,Qualifies for reduced/free lunch,DNQDD,ROP
MR2T1,Male,Does not qualify,DNQDD,ROP
N3LL6,Female,Qualifies for reduced/free lunch,DNQDD,ROP
OA8PY,Male,Qualifies for reduced/free lunch,DNQDD,ROP
PXXNX,Male,Does not qualify,DNQDD,ROP
S7G9W,Female,Qualifies for reduced/free lunch,DNQDD,ROP
SJEG2,Male,Qualifies for reduced/free lunch,DNQDD,ROP
VG2OX,Male,Does not qualify,DNQDD,ROP
VJ7SW,Female,Does not qualify,DNQDD,ROP
XLDOH,Female,Qualifies for reduced/free lunch,DNQDD,ROP
XWMAD,Male,Qualifies for reduced/free lunch,DNQDD,ROP
YC05X,Female,Does not qualify,DNQDD,ROP
ZFT9J,Male,Qualifies for reduced/free lunch,DNQDD,ROP
ZJ61P,Female,Qualifies for reduced/free lunch,DNQDD,ROP
2QC96,Female,Qualifies for reduced/free lunch,DNQDD,ST7
70S7T,Female,Does not qualify,DNQDD,ST7
8K2VR,Male,Qualifies for reduced/free lunch,DNQDD,ST7
98B8A,Male,Does not qualify,DNQDD,ST7
99KK2,Female,Qualifies for reduced/free lunch,DNQDD,ST7
A5BS4,Male,Qualifies for reduced/free lunch,DNQDD,ST7
F99D8,Male,Qualifies for reduced/free lunch,DNQDD,ST7
G88DV,Male,Qualifies for reduced/free lunch,DNQDD,ST7
I9OJV,Male,Qualifies for reduced/free lunch,DNQDD,ST7
JIMD2,Male,Does not qualify,DNQDD,ST7
JMTOQ,Male,Qualifies for reduced/free lunch,DNQDD,ST7
LKACN,Female,Qualifies for reduced/free lunch,DNQDD,ST7
M7XQV,Female,Does not qualify,DNQDD,ST7
MEM4Z,Male,Does not qualify,DNQDD,ST7
OJLP8,Male,Qualifies for reduced/free lunch,DNQDD,ST7
OX7PB,Male,Qualifies for reduced/free lunch,DNQDD,ST7
PIYL8,Male,Does not qualify,DNQDD,ST7
SPIWM,Female,Qualifies for reduced/free lunch,DNQDD,ST7
VD06X,Male,Qualifies for reduced/free lunch,DNQDD,ST7
YLFY8,Male,Qualifies for reduced/free lunch,DNQDD,ST7
6K4DK,Male,Does not qualify,DNQDD,XXJ
8NGSI,Male,Qualifies for reduced/free lunch,DNQDD,XXJ
9GYWF,Male,Qualifies for reduced/free lunch,DNQDD,XXJ
B8ZPI,Male,Qualifies for reduced/free lunch,DNQDD,XXJ
B9J7D,Male,Does not qualify,DNQDD,XXJ
BKV9M,Male,Does not qualify,DNQDD,XXJ
D18ZU,Male,Does not qualify,DNQDD,XXJ
E6Q1J,Female,Does not qualify,DNQDD,XXJ
F8Q67,Male,Does not qualify,DNQDD,XXJ
FWYBW,Female,Qualifies for reduced/free lunch,DNQDD,XXJ
G3GYE,Female,Qualifies for reduced/free lunch,DNQDD,XXJ
HEIPF,Male,Qualifies for reduced/free lunch,DNQDD,XXJ
HEOZU,Female,Qualifies for reduced/free lunch,DNQDD,XXJ
IXYC5,Male,Qualifies for reduced/free lunch,DNQDD,XXJ
JZYO3,Female,Qualifies for reduced/free lunch,DNQDD,XXJ
LMU2D,Male,Qualifies for reduced/free lunch,DNQDD,XXJ
NHYYZ,Male,Does not qualify,DNQDD,XXJ
NR8JR,Male,Qualifies for reduced/free lunch,DNQDD,XXJ
O2EGZ,Female,Qualifies for reduced/free lunch,DNQDD,XXJ
OKESX,Female,Qualifies for reduced/free lunch,DNQDD,XXJ
RV35S,Female,Qualifies for reduced/free lunch,DNQDD,XXJ
RVEQB,Female,Qualifies for reduced/free lunch,DNQDD,XXJ
SVLAT,Female,Does not qualify,DNQDD,XXJ
SZ7BS,Male,Qualifies for reduced/free lunch,DNQDD,XXJ
WLH9L,Male,Does not qualify,DNQDD,XXJ
Y2Z8M,Male,Does not qualify,DNQDD,XXJ
Z7PUC,Female,Qualifies for reduced/free lunch,DNQDD,XXJ
25M8Y,Male,Qualifies for reduced/free lunch,FBUMG,197
3234W,Male,Does not qualify,FBUMG,197
3431D,Male,Does not qualify,FBUMG,197
A3RYU,Male,Does not qualify,FBUMG,197
ARW1X,Male,Does not qualify,FBUMG,197
BZ38P,Female,Does not qualify,FBUMG,197
FNZ5V,Female,Does not qualify,FBUMG,197
H4WWF,Male,Qualifies for reduced/free lunch,FBUMG,197
HDPCP,Female,Does not qualify,FBUMG,197
KJGKN,Male,Does not qualify,FBUMG,197
S56V4,Male,Does not qualify,FBUMG,197
VMM7O,Male,Does not qualify,FBUMG,197
Y9W00,Female,Does not qualify,FBUMG,197
Z5DTY,Female,Does not qualify,FBUMG,197
04DG5,Female,Qualifies for reduced/free lunch,FBUMG,5LQ
20M2D,Female,Qualifies for reduced/free lunch,FBUMG,5LQ
39KCW,Male,Qualifies for reduced/free lunch,FBUMG,5LQ
5Z1B6,Male,Does not qualify,FBUMG,5LQ
6TLU8,Female,Does not qualify,FBUMG,5LQ
ATQQJ,Female,Does not qualify,FBUMG,5LQ
AYEU1,Male,Qualifies for reduced/free lunch,FBUMG,5LQ
B9FSU,Male,Does not qualify,FBUMG,5LQ
EV13K,Female,Does not qualify,FBUMG,5LQ
I5H37,Male,Qualifies for reduced/free lunch,FBUMG,5LQ
JC5I9,Female,Does not qualify,FBUMG,5LQ
JPE2J,Male,Does not qualify,FBUMG,5LQ
MFBYU,Female,Does not qualify,FBUMG,5LQ
O144X,Male,Does not qualify,FBUMG,5LQ
OGKP3,Male,Does not qualify,FBUMG,5LQ
UMFI7,Female,Qualifies for reduced/free lunch,FBUMG,5LQ
V1DNJ,Male,Does not qualify,FBUMG,5LQ
YRN9S,Male,Does not qualify,FBUMG,5LQ
07R5Z,Male,Does not qualify,FBUMG,JGD
39K0Q,Female,Does not qualify,FBUMG,JGD
3BUJG,Male,Does not qualify,FBUMG,JGD
