student_id,school,gender,lunch,pretest,posttest
24AN2,CCAAW,Female,Qualifies for reduced/free lunch,60.0,73.0
2XT73,CCAAW,Female,Qualifies for reduced/free lunch,59.0,73.0
65RSM,CCAAW,Male,Does not qualify,59.0,70.0
6QNQ9,CCAAW,Female,Qualifies for reduced/free lunch,55.0,69.0
76O2H,CCAAW,Male,Does not qualify,55.0,71.0
EUUCT,CCAAW,Female,Does not qualify,56.0,74.0
FUCFP,CCAAW,Female,Qualifies for reduced/free lunch,53.0,69.0
G3L6V,CCAAW,Female,Qualifies for reduced/free lunch,48.0,70.0
I0XVJ,CCAAW,Female,Does not qualify,62.0,76.0
IYNXL,CCAAW,Male,Does not qualify,58.0,75.0
M5NZM,CCAAW,Female,Qualifies for reduced/free lunch,52.0,69.0
PKG8H,CCAAW,Female,Does not qualify,59.0,67.0
RM0W4,CCAAW,Female,Qualifies for reduced/free lunch,53.0,69.0
XWY2X,CCAAW,Female,Does not qualify,57.0,72.0
0DLKI,CCAAW,Male,Does not qualify,68.0,76.0
1F817,CCAAW,Male,Does not qualify,67.0,80.0
1IK2C,CCAAW,Female,Qualifies for reduced/free lunch,67.0,76.0
1OFX7,CCAAW,Female,Does not qualify,66.0,82.0
21IQZ,CCAAW,Female,Does not qualify,58.0,72.0
5I0TO,CCAAW,Female,Does not qualify,61.0,70.0
5SQKW,CCAAW,Male,Does not qualify,63.0,75.0
7PLYH,CCAAW,Female,Does not qualify,68.0,77.0
8MLVH,CCAAW,Female,Qualifies for reduced/free lunch,61.0,76.0
CGX72,CCAAW,Female,Does not qualify,75.0,83.0
IBX0J,CCAAW,Female,Qualifies for reduced/free lunch,68.0,75.0
JY21F,CCAAW,Female,Qualifies for reduced/free lunch,65.0,72.0
L4B6P,CCAAW,Female,Qualifies for reduced/free lunch,65.0,77.0
PYYX9,CCAAW,Female,Qualifies for reduced/free lunch,61.0,77.0
QZI3R,CCAAW,Female,Qualifies for reduced/free lunch,62.0,69.0
RYJH1,CCAAW,Male,Qualifies for reduced/free lunch,65.0,74.0
TKWII,CCAAW,Female,Qualifies for reduced/free lunch,70.0,79.0
X6ZCW,CCAAW,Female,Qualifies for reduced/free lunch,65.0,74.0
ZDLQB,CCAAW,Female,Qualifies for reduced/free lunch,60.0,73.0
0WW6N,CIMBB,Male,Does not qualify,60.0,67.0
5IKFU,CIMBB,Male,Does not qualify,62.0,70.0
7ODZ6,CIMBB,Male,Does not qualify,59.0,73.0
BD0UJ,CIMBB,Male,Does not qualify,62.0,72.0
F08JN,CIMBB,Male,Does not qualify,54.0,68.0
FRA61,CIMBB,Female,Does not qualify,58.0,66.0
FZVQF,CIMBB,Male,Does not qualify,58.0,66.0
GXVKS,CIMBB,Male,Does not qualify,60.0,69.0
IUX8B,CIMBB,Male,Does not qualify,68.0,78.0
KL3L4,CIMBB,Female,Does not qualify,55.0,69.0
NV5M7,CIMBB,Female,Does not qualify,61.0,71.0
PBE3E,CIMBB,Female,Does not qualify,61.0,71.0
QB9ZX,CIMBB,Male,Does not qualify,61.0,70.0
SM22E,CIMBB,Male,Does not qualify,64.0,81.0
U2O2E,CIMBB,Female,Does not qualify,61.0,72.0
UOZAQ,CIMBB,Female,Qualifies for reduced/free lunch,54.0,69.0
XGJ6Y,CIMBB,Female,Does not qualify,56.0,65.0
Y0PR8,CIMBB,Female,Does not qualify,55.0,64.0
YB3AW,CIMBB,Female,Does not qualify,65.0,71.0
03T0E,CIMBB,Male,Does not qualify,64.0,76.0
13IGD,CIMBB,Male,Does not qualify,72.0,79.0
2BCEE,CIMBB,Female,Does not qualify,72.0,78.0
4RRBE,CIMBB,Male,Does not qualify,67.0,72.0
5RT1S,CIMBB,Male,Does not qualify,64.0,74.0
6MBC0,CIMBB,Female,Does not qualify,69.0,79.0
7T7C2,CIMBB,Male,Does not qualify,67.0,78.0
A90E3,CIMBB,Male,Does not qualify,70.0,76.0
C4WMS,CIMBB,Male,Does not qualify,64.0,77.0
DG5U0,CIMBB,Female,Does not qualify,64.0,75.0
H033K,CIMBB,Male,Does not qualify,69.0,78.0
HM7JY,CIMBB,Female,Does not qualify,70.0,82.0
IDT35,CIMBB,Male,Does not qualify,71.0,78.0
J8ME6,CIMBB,Female,Does not qualify,67.0,80.0
O9Z89,CIMBB,Female,Does not qualify,69.0,79.0
RZB93,CIMBB,Male,Does not qualify,69.0,80.0
THSH4,CIMBB,Male,Does not qualify,66.0,81.0
TLZHB,CIMBB,Female,Does not qualify,64.0,78.0
W6N8C,CIMBB,Female,Does not qualify,69.0,82.0
XGPLY,CIMBB,Female,Does not qualify,67.0,82.0
Z3KSE,CIMBB,Female,Does not qualify,65.0,76.0
1FA55,CIMBB,Male,Does not qualify,64.0,88.0
3MV44,CIMBB,Male,Does not qualify,64.0,80.0
4LM4Y,CIMBB,Male,Does not qualify,73.0,81.0
792N5,CIMBB,Female,Does not qualify,66.0,83.0
8TW6G,CIMBB,Male,Does not qualify,56.0,78.0
9HA2N,CIMBB,Male,Does not qualify,67.0,87.0
B8EP0,CIMBB,Female,Does not qualify,62.0,82.0
BQ8E0,CIMBB,Female,Does not qualify,68.0,82.0
E25O4,CIMBB,Female,Does not qualify,69.0,84.0
IFRIJ,CIMBB,Female,Does not qualify,68.0,85.0
IOQIU,CIMBB,Male,Does not qualify,63.0,82.0
JGBZA,CIMBB,Female,Does not qualify,72.0,83.0
JU9C5,CIMBB,Male,Does not qualify,70.0,82.0
M0CLJ,CIMBB,Male,Does not qualify,68.0,87.0
V69IG,CIMBB,Female,Does not qualify,64.0,85.0
WY9TV,CIMBB,Male,Does not qualify,64.0,78.0
XKSFM,CIMBB,Male,Does not qualify,61.0,77.0
1C30U,CIMBB,Male,Does not qualify,70.0,78.0
4XEXD,CIMBB,Female,Does not qualify,65.0,79.0
7Z1S4,CIMBB,Female,Does not qualify,63.0,72.0
8DR2M,CIMBB,Female,Does not qualify,68.0,80.0
BO4NT,CIMBB,Female,Does not qualify,66.0,75.0
DBPV7,CIMBB,Female,Does not qualify,64.0,75.0
EQUU9,CIMBB,Female,Does not qualify,68.0,77.0
ETDRG,CIMBB,Female,Does not qualify,67.0,79.0
G8VM9,CIMBB,Male,Does not qualify,66.0,75.0
GS9HH,CIMBB,Male,Does not qualify,68.0,80.0
J4LOI,CIMBB,Female,Does not qualify,72.0,86.0
K7YOS,CIMBB,Female,Does not qualify,69.0,76.0
M2OMY,CIMBB,Male,Does not qualify,68.0,78.0
P0F2W,CIMBB,Female,Does not qualify,62.0,75.0
U6C5U,CIMBB,Female,Does not qualify,71.0,80.0
VQ6PP,CIMBB,Male,Does not qualify,72.0,79.0
XJPON,CIMBB,Male,Does not qualify,64.0,74.0
14K8S,CUQAM,Female,Does not qualify,55.0,70.0
1V9FC,CUQAM,Male,Qualifies for reduced/free lunch,55.0,67.0
2NV1C,CUQAM,Male,Does not qualify,58.0,70.0
4TYX0,CUQAM,Female,Does not qualify,60.0,67.0
5HS69,CUQAM,Female,Does not qualify,58.0,69.0
6AEX4,CUQAM,Female,Does not qualify,52.0,63.0
6O48K,CUQAM,Male,Does not qualify,53.0,67.0
7R2Y4,CUQAM,Male,Does not qualify,53.0,68.0
82W8S,CUQAM,Male,Does not qualify,54.0,68.0
D4HCS,CUQAM,Male,Does not qualify,59.0,70.0
F0FIP,CUQAM,Male,Does not qualify,55.0,65.0
GK727,CUQAM,Male,Does not qualify,56.0,67.0
H9BKE,CUQAM,Male,Does not qualify,58.0,67.0
J82SA,CUQAM,Female,Does not qualify,58.0,65.0
K8KRE,CUQAM,Male,Qualifies for reduced/free lunch,58.0,65.0
KB2DJ,CUQAM,Male,Does not qualify,60.0,74.0
MMOCM,CUQAM,Female,Does not qualify,60.0,69.0
MQHOL,CUQAM,Male,Does not qualify,56.0,61.0
N2HZ8,CUQAM,Female,Does not qualify,56.0,69.0
PPWAC,CUQAM,Male,Does not qualify,56.0,74.0
REXA7,CUQAM,Female,Does not qualify,52.0,68.0
UCMFB,CUQAM,Female,Qualifies for reduced/free lunch,52.0,68.0
VIYQW,CUQAM,Female,Does not qualify,56.0,63.0
WCVWV,CUQAM,Female,Does not qualify,58.0,70.0
X0AOP,CUQAM,Male,Does not qualify,61.0,71.0
X94T8,CUQAM,Male,Does not qualify,60.0,62.0
XAV1J,CUQAM,Male,Qualifies for reduced/free lunch,57.0,62.0
YPIKD,CUQAM,Male,Does not qualify,50.0,58.0
3SRQL,CUQAM,Female,Does not qualify,53.0,57.0
57N0B,CUQAM,Female,Does not qualify,55.0,63.0
5VCT2,CUQAM,Female,Does not qualify,46.0,57.0
6O5SV,CUQAM,Female,Does not qualify,50.0,59.0
6Y2G7,CUQAM,Male,Does not qualify,50.0,57.0
9UOCD,CUQAM,Male,Does not qualify,56.0,64.0
BHDD2,CUQAM,Male,Qualifies for reduced/free lunch,44.0,58.0
DEQXB,CUQAM,Female,Does not qualify,53.0,64.0
DH29D,CUQAM,Male,Does not qualify,51.0,56.0
E0NP5,CUQAM,Female,Does not qualify,50.0,61.0
FIH1N,CUQAM,Male,Does not qualify,53.0,61.0
FIXJF,CUQAM,Male,Does not qualify,53.0,64.0
HFMAA,CUQAM,Male,Does not qualify,52.0,60.0
IRVYC,CUQAM,Male,Does not qualify,49.0,61.0
MIMX1,CUQAM,Female,Does not qualify,55.0,63.0
NRU8N,CUQAM,Female,Does not qualify,56.0,66.0
QMRNM,CUQAM,Male,Does not qualify,53.0,62.0
QP6GN,CUQAM,Male,Does not qualify,50.0,59.0
RLCLQ,CUQAM,Male,Qualifies for reduced/free lunch,50.0,59.0
SOE2Z,CUQAM,Male,Does not qualify,52.0,62.0
U11R6,CUQAM,Female,Does not qualify,52.0,58.0
U55KC,CUQAM,Male,Qualifies for reduced/free lunch,47.0,62.0
U6V9N,CUQAM,Female,Qualifies for reduced/free lunch,46.0,60.0
UPA8M,CUQAM,Male,Does not qualify,53.0,59.0
WCR6H,CUQAM,Male,Does not qualify,51.0,61.0
WP4OE,CUQAM,Male,Does not qualify,52.0,65.0
YV0HB,CUQAM,Female,Does not qualify,50.0,64.0
0H9EO,CUQAM,Female,Does not qualify,52.0,67.0
0WKXC,CUQAM,Male,Does not qualify,60.0,72.0
0ZUZM,CUQAM,Male,Does not qualify,55.0,69.0
1M80R,CUQAM,Male,Does not qualify,53.0,68.0
2AT2K,CUQAM,Male,Does not qualify,57.0,67.0
2EQ4L,CUQAM,Male,Does not qualify,61.0,62.0
3ULUB,CUQAM,Female,Does not qualify,59.0,64.0
6J5II,CUQAM,Female,Does not qualify,51.0,65.0
703YR,CUQAM,Male,Qualifies for reduced/free lunch,49.0,65.0
86RZK,CUQAM,Female,Does not qualify,59.0,64.0
91U4U,CUQAM,Male,Qualifies for reduced/free lunch,52.0,63.0
AYOIP,CUQAM,Female,Does not qualify,51.0,66.0
BW158,CUQAM,Female,Does not qualify,57.0,65.0
CFA02,CUQAM,Male,Does not qualify,54.0,62.0
GHNH4,CUQAM,Male,Does not qualify,52.0,65.0
I1E36,CUQAM,Male,Does not qualify,57.0,68.0
J9O6H,CUQAM,Female,Does not qualify,54.0,65.0
N3DMQ,CUQAM,Male,Does not qualify,57.0,59.0
OBJSU,CUQAM,Female,Does not qualify,60.0,68.0
PDDSN,CUQAM,Female,Does not qualify,51.0,64.0
PZFMC,CUQAM,Female,Does not qualify,61.0,67.0
R8YXZ,CUQAM,Male,Qualifies for reduced/free lunch,52.0,61.0
RHZI6,CUQAM,Male,Does not qualify,52.0,63.0
THIFD,CUQAM,Female,Qualifies for reduced/free lunch,49.0,64.0
TNGFN,CUQAM,Male,Does not qualify,57.0,63.0
U3GC0,CUQAM,Female,Does not qualify,52.0,63.0
Y7CIO,CUQAM,Male,Does not qualify,54.0,63.0
YSEBW,CUQAM,Male,Does not qualify,58.0,65.0
5Z1Q8,CUQAM,Female,Does not qualify,51.0,66.0
6PQH8,CUQAM,Female,Does not qualify,56.0,75.0
B4YM5,CUQAM,Female,Does not qualify,56.0,72.0
C8YUM,CUQAM,Male,Qualifies for reduced/free lunch,51.0,69.0
CRV86,CUQAM,Male,Does not qualify,53.0,65.0
D4BUO,CUQAM,Male,Does not qualify,49.0,67.0
HCBLB,CUQAM,Male,Does not qualify,54.0,72.0
JGOV7,CUQAM,Male,Does not qualify,52.0,71.0
JME0Z,CUQAM,Female,Does not qualify,53.0,70.0
K3IZ6,CUQAM,Male,Does not qualify,54.0,70.0
NIJP6,CUQAM,Female,Does not qualify,57.0,76.0
PGFCX,CUQAM,Male,Does not qualify,52.0,67.0
QCW77,CUQAM,Female,Does not qualify,61.0,74.0
QLAXV,CUQAM,Male,Does not qualify,52.0,73.0
RLE9C,CUQAM,Male,Qualifies for reduced/free lunch,54.0,68.0
S1U43,CUQAM,Male,Does not qualify,55.0,69.0
SZDD5,CUQAM,Male,Does not qualify,53.0,71.0
TMC4V,CUQAM,Male,Does not qualify,55.0,72.0
TNGPD,CUQAM,Male,Does not qualify,53.0,70.0
TT9MG,CUQAM,Male,Qualifies for reduced/free lunch,48.0,66.0
UHE7N,CUQAM,Male,Does not qualify,51.0,70.0
UM6YP,CUQAM,Female,Does not qualify,56.0,70.0
X006R,CUQAM,Female,Does not qualify,51.0,69.0
Y7KJM,CUQAM,Female,Qualifies for reduced/free lunch,49.0,67.0
1K0Q5,DNQDD,Female,Does not qualify,54.0,67.0
338XH,DNQDD,Female,Qualifies for reduced/free lunch,50.0,64.0
378BQ,DNQDD,Female,Does not qualify,51.0,65.0
3BGFW,DNQDD,Female,Does not qualify,53.0,70.0
4ZRL3,DNQDD,Male,Does not qualify,52.0,60.0
56UMG,DNQDD,Male,Qualifies for reduced/free lunch,51.0,57.0
5UWDZ,DNQDD,Male,Does not qualify,56.0,61.0
8PAMX,DNQDD,Female,Qualifies for reduced/free lunch,47.0,58.0
96ZIU,DNQDD,Female,Qualifies for reduced/free lunch,49.0,60.0
DBJRW,DNQDD,Male,Qualifies for reduced/free lunch,46.0,63.0
DCVI8,DNQDD,Female,Qualifies for reduced/free lunch,43.0,61.0
E178W,DNQDD,Male,Does not qualify,56.0,59.0
EDR5K,DNQDD,Female,Does not qualify,54.0,64.0
IRU9S,DNQDD,Female,Qualifies for reduced/free lunch,48.0,64.0
JIPLL,DNQDD,Female,Does not qualify,55.0,62.0
MH6W5,DNQDD,Female,Does not qualify,53.0,63.0
N1ICX,DNQDD,Male,Qualifies for reduced/free lunch,52.0,63.0
QFID8,DNQDD,Male,Does not qualify,55.0,55.0
RYRXG,DNQDD,Male,Qualifies for reduced/free lunch,52.0,65.0
T0TIH,DNQDD,Male,Qualifies for reduced/free lunch,54.0,57.0
U086J,DNQDD,Male,Qualifies for reduced/free lunch,48.0,54.0
U0TQQ,DNQDD,Male,Qualifies for reduced/free lunch,53.0,62.0
UIM0F,DNQDD,Male,Qualifies for reduced/free lunch,52.0,58.0
UPBA8,DNQDD,Male,Qualifies for reduced/free lunch,54.0,61.0
VJQL3,DNQDD,Male,Qualifies for reduced/free lunch,44.0,59.0
X7YLX,DNQDD,Female,Qualifies for reduced/free lunch,47.0,56.0
Y2RWV,DNQDD,Female,Does not qualify,49.0,58.0
02WIH,DNQDD,Male,Qualifies for reduced/free lunch,37.0,56.0
0VR4J,DNQDD,Female,Does not qualify,50.0,63.0
1IEF0,DNQDD,Male,Does not qualify,48.0,58.0
1M9UM,DNQDD,Male,Qualifies for reduced/free lunch,40.0,60.0
2OI79,DNQDD,Female,Qualifies for reduced/free lunch,39.0,49.0
463P7,DNQDD,Female,Does not qualify,41.0,60.0
4HD3D,DNQDD,Female,Qualifies for reduced/free lunch,38.0,57.0
6RFGN,DNQDD,Male,Qualifies for reduced/free lunch,44.0,58.0
6TTZY,DNQDD,Female,Does not qualify,45.0,63.0
6XLGF,DNQDD,Female,Does not qualify,45.0,67.0
E7VFK,DNQDD,Female,Qualifies for reduced/free lunch,36.0,53.0
GO92G,DNQDD,Male,Does not qualify,48.0,62.0
GUEXC,DNQDD,Female,Qualifies for reduced/free lunch,42.0,54.0
MP2DL,DNQDD,Female,Does not qualify,48.0,65.0
UBDCF,DNQDD,Male,Qualifies for reduced/free lunch,42.0,57.0
VWNJ9,DNQDD,Male,Does not qualify,45.0,67.0
XN65F,DNQDD,Female,Qualifies for reduced/free lunch,39.0,61.0
Y4LA5,DNQDD,Female,Qualifies for reduced/free lunch,45.0,64.0
YM3NK,DNQDD,Male,Qualifies for reduced/free lunch,44.0,59.0
ZR1KH,DNQDD,Female,Qualifies for reduced/free lunch,40.0,52.0
0KSLY,DNQDD,Female,Does not qualify,57.0,74.0
34LDX,DNQDD,Male,Qualifies for reduced/free lunch,58.0,74.0
39EA1,DNQDD,Female,Does not qualify,62.0,79.0
5CQ0N,DNQDD,Female,Qualifies for reduced/free lunch,61.0,71.0
5SLAY,DNQDD,Male,Qualifies for reduced/free lunch,57.0,73.0
7HDEV,DNQDD,Male,Qualifies for reduced/free lunch,62.0,74.0
831D6,DNQDD,Male,Qualifies for reduced/free lunch,55.0,71.0
889HH,DNQDD,Male,Qualifies for reduced/free lunch,55.0,68.0
B6VQP,DNQDD,Male,Does not qualify,55.0,75.0
H0CGC,DNQDD,Male,Qualifies for reduced/free lunch,57.0,72.0
JAQ11,DNQDD,Male,Qualifies for reduced/free lunch,58.0,79.0
JZRVJ,DNQDD,Male,Does not qualify,58.0,75.0
KCJ9W,DNQDD,Female,Does not qualify,60.0,78.0
L0UG9,DNQDD,Male,Qualifies for reduced/free lunch,55.0,67.0
MGJ90,DNQDD,Female,Qualifies for reduced/free lunch,52.0,73.0
MR2T1,DNQDD,Male,Does not qualify,61.0,73.0
N3LL6,DNQDD,Female,Qualifies for reduced/free lunch,53.0,67.0
OA8PY,DNQDD,Male,Qualifies for reduced/free lunch,60.0,73.0
PXXNX,DNQDD,Male,Does not qualify,58.0,76.0
S7G9W,DNQDD,Female,Qualifies for reduced/free lunch,53.0,67.0
SJEG2,DNQDD,Male,Qualifies for reduced/free lunch,60.0,72.0
VG2OX,DNQDD,Male,Does not qualify,64.0,77.0
VJ7SW,DNQDD,Female,Does not qualify,62.0,74.0
XLDOH,DNQDD,Female,Qualifies for reduced/free lunch,56.0,74.0
XWMAD,DNQDD,Male,Qualifies for reduced/free lunch,59.0,76.0
YC05X,DNQDD,Female,Does not qualify,61.0,77.0
ZFT9J,DNQDD,Male,Qualifies for reduced/free lunch,56.0,74.0
ZJ61P,DNQDD,Female,Qualifies for reduced/free lunch,54.0,73.0
2QC96,DNQDD,Female,Qualifies for reduced/free lunch,64.0,69.0
70S7T,DNQDD,Female,Does not qualify,63.0,74.0
8K2VR,DNQDD,Male,Qualifies for reduced/free lunch,49.0,60.0
98B8A,DNQDD,Male,Does not qualify,60.0,61.0
99KK2,DNQDD,Female,Qualifies for reduced/free lunch,58.0,69.0
A5BS4,DNQDD,Male,Qualifies for reduced/free lunch,60.0,74.0
F99D8,DNQDD,Male,Qualifies for reduced/free lunch,57.0,66.0
G88DV,DNQDD,Male,Qualifies for reduced/free lunch,58.0,70.0
I9OJV,DNQDD,Male,Qualifies for reduced/free lunch,58.0,68.0
JIMD2,DNQDD,Male,Does not qualify,62.0,71.0
JMTOQ,DNQDD,Male,Qualifies for reduced/free lunch,53.0,68.0
LKACN,DNQDD,Female,Qualifies for reduced/free lunch,55.0,66.0
M7XQV,DNQDD,Female,Does not qualify,60.0,72.0
MEM4Z,DNQDD,Male,Does not qualify,62.0,71.0
OJLP8,DNQDD,Male,Qualifies for reduced/free lunch,55.0,64.0
OX7PB,DNQDD,Male,Qualifies for reduced/free lunch,60.0,67.0
PIYL8,DNQDD,Male,Does not qualify,59.0,66.0
SPIWM,DNQDD,Female,Qualifies for reduced/free lunch,53.0,70.0
VD06X,DNQDD,Male,Qualifies for reduced/free lunch,57.0,74.0
YLFY8,DNQDD,Male,Qualifies for reduced/free lunch,59.0,69.0
6K4DK,DNQDD,Male,Does not qualify,63.0,72.0
8NGSI,DNQDD,Male,Qualifies for reduced/free lunch,65.0,68.0
9GYWF,DNQDD,Male,Qualifies for reduced/free lunch,56.0,71.0
B8ZPI,DNQDD,Male,Qualifies for reduced/free lunch,60.0,69.0
B9J7D,DNQDD,Male,Does not qualify,60.0,66.0
